OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CONTAINS_TEXT_VALINTASI,By.XPATH,//p[contains(text()@@@"valintasi")],96,90,1752,20
CONTAINS_TEXT_VALITSE_MIELEISESI_MALLI_SUUNNITELMASI_POHJAKSI,By.XPATH,//h2[contains(text()@@@"Valitse mieleisesi malli ")],96,126,1752,35
BODY_PID_N_KIRJOISTA,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[1]/DIV[1],96,304,438,214
BODY_PID_N_MUSIIKISTA_JA_ELOKUVISTA,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[1]/DIV[2],534,304,438,214
BODY_OMISTAN_PALJON_TAKKEJA,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[1]/DIV[3],972,304,438,214
BODY_PID_N_KAUNIISTA_ALUSVAATTEISTA,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[1]/DIV[4],1409,304,438,214
BODY_KOTITOIMISTO_KUULUU_ARKEENI,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[2]/DIV[1],96,535,438,214
BODY_OLEN_HULLUNA_KENKIIN,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[2]/DIV[2],534,535,438,214
BODY_PALJON_SEKALAISTA_PIKKUTAVARAA,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[2]/DIV[3],972,535,438,214
BODY_MEKOT_JA_PUVUT,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[3]/DIV[2]/DIV[2]/DIV[4],1409,535,438,214
CLASS_DISABLE_ELEMENT,By.CLASS_NAME,disable-element,0,766,192,68
CLASS_ELEMENT_RESTART,By.CLASS_NAME,element-restart,288,766,288,68
CLASS_ELEMENT_ENABLE,By.CLASS_NAME,element-enable,1632,766,288,68
